unit,strategy,rank,mask,cost,optimal,probability
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,6,10896,293,False,0.00018393967105452013
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,7,16836,306,False,0.00010723515622446271
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,8,17794,316,False,8.09108450698938e-05
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,9,25472,324,False,6.456711343895482e-05
tv2_m16_bottleneck_00__MULTI__s9101,FROZEN_LAYERWISE,10,29058,387,False,8.780999452592243e-06
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,1,236,274,True,0.5364322151043132
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,2,2260,275,False,0.31602845227644005
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,3,1194,284,False,0.07435926511386713
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,4,3218,285,False,0.046253395217314
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,5,8872,292,False,0.011397986465924659
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,6,10896,293,False,0.008121303550768233
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,7,16836,306,False,0.004790846872706186
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,8,25472,324,False,0.0007639849162892745
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,9,29058,387,False,0.0007215779786341396
tv2_m16_bottleneck_00__MULTI__s9101,WARM_JOINT,10,17794,316,False,0.00031544376039098357
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,1,236,274,True,0.15876190944080829
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,2,2260,275,False,0.14295587974863186
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,3,1194,284,False,0.12556266491772228
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,4,3218,285,False,0.11259002009938839
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,5,8872,292,False,0.10241607988121365
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,6,10896,293,False,0.09257476470977472
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,7,16836,306,False,0.07747712215925645
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,8,17794,316,False,0.06414418268953803
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,9,25472,324,False,0.06293651986148369
tv2_m16_bottleneck_00__MULTI__s9101,RANDOM_JOINT,10,29058,387,False,0.023531006700154466
